Max Temp,Min Temp
-18.3,-28.3
-4.5,-18.5
3.8,-6.3
1.5,-9.6
-2.1,-9.5
-2.7,-12.3
0.6,-8.4
-8.3,-16.5
-15.5,-19.3
-9,-15.7
-9.1,-13.7
-5.6,-13.8
-5.1,-7
-6.4,-11.4
-3.7,-23.5
-18.8,-27.8
-17.9,-27.4
-25.7,-30.2
-25,-31.9
-22.2,-33.2
-11.5,-23.2
-10.4,-14.3
-9.4,-19.6
-19.6,-29
-24.3,-33.2
-23.7,-32.7
-19.1,-30.8
-18.4,-26.7
-26.5,-38.5
-29.8,-39.9
-21.5,-34.5
-11.4,-21.9
-14.1,-17.8
-17.7,-22.3
-20.7,-28.2
-20.9,-29.2
-18.8,-22.1
-21.6,-27.2
-21,-30.8
-22.6,-31.9
-20.6,-33.8
-9.2,-26.6
-8.4,-20.9
-13.6,-22.5
-15.8,-24.4
-16.7,-27.8
-13.9,-26.8
-13.6,-23.1
-17.6,-25.4
-14.4,-25.1
-6.9,-18.9
-9.5,-18.8
-10.8,-18.6
-9.4,-18.6
-10.7,-29.4
-17.8,-32.4
-16.2,-29.6
-10.9,-22.5
-9.2,-24.1
-12.6,-26.5
-19.3,-27.5
-18.1,-29.6
-10.7,-19.6
-10.4,-20.6
-12.3,-23.2
-11.6,-24.1
-5.7,-14.3
-2.6,-10
-8.4,-19.8
-7.1,-20.9
0.2,-10.1
-0.5,-9.7
0.9,-10.8
-4.2,-15.4
-3.7,-19.6
1.6,-14.2
2.4,-7.5
4.2,-10.7
4.3,-3.9
4.9,-5.3
6.7,-4
-2,-9.6
1.1,-11.1
2.9,-4.5
9.2,0.6
1.5,-3.7
3.9,-5.2
1.6,-6.8
4.4,-5.7
7.5,-2.3
1.4,-4.3
0.4,-5.1
2.3,-3.4
2.2,-3.1
8.8,-4.6
7.9,1.8
6,-3.9
-2.5,-6.8
5.9,-4.5
5.5,-3.7
3.4,-2.2
9.9,-4.8
9.2,-1.8
10.4,0
15.7,0.3
14,0.9
15.6,-1.2
18.7,2.7
17.1,6.8
19.7,1.4
16.4,2.5
17,-1.3
20.6,2.9
14.5,-3.1
12.3,-3.4
8.9,-3.5
8.3,-0.1
6.8,-1.3
8.1,-2.6
15.6,-3.2
14.2,5
13.4,-2
6.2,-4
7.1,-3.7
14.3,-5.1
12.5,-2
18,-5.5
22.1,9.2
18,1.9
26.1,6.8
17.8,3.1
17,0
12.1,-1.8
16.6,-4.5
13.4,2.6
16.3,3.1
20.7,2.9
24,1.6
15.4,8.7
21.9,3.2
13.2,7.8
20.8,6.6
13.6,1.6
19.9,-2.2
26.2,5.6
27.8,4.4
30.4,11.8
16.7,3.4
19,0.1
18.3,-0.6
27.1,10.8
27,10.8
26.3,4.9
27.7,10.8
36.6,18.9
25.7,11.3
20.3,9.7
19.7,5.5
20.4,3.6
20.7,1
26.3,10.1
26.2,14.6
20.8,10.8
16.5,10.5
21.1,11.9
24.5,11
27.6,7.9
28.2,10.1
26.6,12
23.4,14.6
25.1,12.8
27.3,9.9
26.4,13.3
28.4,12.4
29.3,12.5
30.7,11.7
27.8,17.2
31.9,18.3
28.6,13.8
25.1,14.3
21.9,11.1
27.2,12.9
25.7,9.1
24.8,5.7
29.9,11.5
29.4,19.7
24,17.3
26.7,14.8
30,13.8
24.9,15.7
29.1,12.7
30.5,17.8
28.6,18
26.1,14.8
25,18.1
27.8,16.4
26.3,14.2
22.9,13
23.9,8.6
26.8,10.2
28.8,13.2
29.5,19.1
25.6,14.7
29.1,14.5
27.4,17.4
22.5,8.5
25,5.7
29,12.1
31.7,16
32.9,15.5
32.4,18.4
31.8,14
28.1,13.9
28.6,13.5
23.3,10
24.5,7.9
28.1,7.4
22.9,12.9
24.1,8.3
22.4,9.4
25.2,9.4
25.3,7.8
27.1,14.1
29.6,10.3
24,13
24.4,7.8
26.4,9.5
22,9.2
21.3,6.5
23.7,4.7
26.5,12.7
29.6,17.7
21.2,15.3
22.6,12.8
15.1,11.3
22.4,8.3
20.2,6.7
22.6,5.4
19.2,11.1
22.5,8.6
16.3,5.1
15.5,7.5
25,6.8
22.7,14.1
21.6,8.2
15.8,6.7
19.2,2.8
17.4,6.7
14.6,11.2
15.4,8.3
12.5,8.7
17.2,6.1
20.2,4.7
28.6,10.5
29.5,15.4
30.6,21.3
